##########  lines to join *pairs
# make the shortest line the lowest color
#####   1 29
#x  #y  #z  #c
1   1    1  12
1   29  29  12

#x  #y  #z  #c
29  1   29  12
29  29   1  12

#####   7 23
#x  #y  #z  #c
7   1    7  12
7   29  23  12

#x  #y  #z  #c
23  1   23  12
23  29   7  12

#####   11 19
#x  #y  #z  #c
11  1   11  12
11  29  19  12

#x  #y  #z  #c
19  1   19  12
19  29  11  12

#####   13 17
#x  #y  #z  #c
13  1   13  12
13  29  17  12

#x  #y  #z  #c
17  1   17  12
17  29  13  12

####  1 29
#x  #y  #z  #c
1   31  31  12
1   59  59  12

#x  #y  #z  #c
29  31  59  12
29  59  31  12

##### 7 23
#x  #y  #z  #c
7   31  37  12
7   59  53  12

#x  #y  #z  #c
23  31  53  12
23  59  37  12

##### 11 19
#x  #y  #z  #c
11  31  41  12
11  59  49  12

#x  #y  #z  #c
19  31  49  12
19  59  41  12

##### 13 17
#x  #y  #z  #c
13  31  43  12
13  59  47  12

#x  #y  #z  #c
17  31  47  12
17  59  43  12

