##    all possible prime = 8
##
##
 #z      #x      #y     #c
 7       1       7      8
 7       7       19     8
 7       11      17     8
 7       13      1      8
 7       17      29     8
 7       19      13     8
 7       23      11     8
 7       29      23     8
 #z      #x      #y     #c
 23      1       23     8
 23      7       11     8
 23      11      13     8
 23      13      29     8
 23      17      1      8
 23      19      17     8
 23      23      19     8
 23      29      7      8
